Fruit,Price,Link
Apple Braeburn,$2 ,https://www.zhihu.com/question/413666436
Apple Granny Smith,$1 ,https://www.zhihu.com/question/413666437
Apricot,$4 ,https://www.zhihu.com/question/413666438
Avocado,$3 ,https://www.zhihu.com/question/413666439
Banana,$5 ,https://www.zhihu.com/question/413666440
Blueberry,$4 ,https://www.zhihu.com/question/413666441
Cactus fruit,$2 ,
Cantaloupe,$1 ,
Cherry,$4 ,
Clementine,$3 ,
Corn,$5 ,
Cucumber Ripe,$2 ,
Grape,$1 ,
Kiwi,$4 ,
Lemon,$3 ,
Limes,$5 ,
Mango,$2 ,
Onion White,$1 ,
Orange,$4 ,
Papaya,$3 ,
Passion Fruit,$5 ,
Peach,$2 ,
Pear,$1 ,
Pepper Green,$4 ,
Pepper Red,$3 ,
Pineapple,$5 ,
Plum,$2 ,
Pomegranate,$1 ,
Potato Red,$4 ,
Rasberry,$3 ,
Strawberry,$2 ,
Tomato,$1 ,
Watermelon,$3 ,
